brand,product,price,rating,reviews
Rolex,Submariner,12000,4.9,500
Omega,Seamaster,8500,4.8,400
Tag Heuer,Carrera,6000,4.7,300
Seiko,Presage,500,4.5,200
Citizen,Eco-Drive,300,4.6,250
Fossil,Grant,150,4.3,150
Casio,G-Shock,100,4.2,100
Rolex,Submariner,12000,4.9,500
Omega,Seamaster,8500,4.8,400
Tag Heuer,Carrera,6000,4.7,300
Seiko,Presage,500,4.5,200
Citizen,Eco-Drive,300,4.6,250
Fossil,Grant,150,4.3,150
Casio,G-Shock,100,4.2,100
Rolex,Submariner,12000,4.9,500
Omega,Seamaster,8500,4.8,400
Tag Heuer,Carrera,6000,4.7,300
Seiko,Presage,500,4.5,200
Citizen,Eco-Drive,300,4.6,250
Fossil,Grant,150,4.3,150
Casio,G-Shock,100,4.2,100
Rolex,Submariner,12000,4.9,500
Omega,Seamaster,8500,4.8,400
Tag Heuer,Carrera,6000,4.7,300
Seiko,Presage,500,4.5,200
Citizen,Eco-Drive,300,4.6,250
Fossil,Grant,150,4.3,150
Casio,G-Shock,100,4.2,100
